rung,fold,seed,source,n_rows,n_positive,positive_prevalence,mean_predicted_proba,std_predicted_proba
lora,1,44,xstest,450,200,0.4444444444444444,0.040418660322167045,0.10035390927974251
lora,2,42,bipia,50,50,1.0,0.0006679042618634412,0.002203982379252752
lora,2,42,injecagent,62,62,1.0,0.0033581062204461887,0.02006598842442055
lora,2,42,jbb_behaviors,200,100,0.5,0.00023579920680418808,0.0007366060269378521
lora,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.40251442790031433,0.398557186126709
lora,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.38184213638305664,0.4052993655204773
lora,2,42,notinject,339,0,0.0,0.2519396961041014,0.3851435069110383
lora,2,42,xstest,450,200,0.4444444444444444,0.0014246827091425175,0.007252732718876696
lora,2,43,bipia,50,50,1.0,0.00031310112763094367,0.0006591252722978907
lora,2,43,injecagent,62,62,1.0,0.0009840638319672272,0.005187462860078445
lora,2,43,jbb_behaviors,200,100,0.5,0.0008460685243799304,0.002344877031582941
lora,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.4970870614051819,0.4110802710056305
lora,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.44103777408599854,0.4120846092700958
lora,2,43,notinject,339,0,0.0,0.22063650071037177,0.3535092916553271
lora,2,43,xstest,450,200,0.4444444444444444,0.0026577261396818763,0.008399154507086892
lora,2,44,bipia,50,50,1.0,0.0021620960609652685,0.004949291075135207
lora,2,44,injecagent,62,62,1.0,0.014166032408948672,0.09511957500800484
lora,2,44,jbb_behaviors,200,100,0.5,0.0032737110534787205,0.0172320076117744
lora,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.3524475693702698,0.3846743404865265
lora,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.48993977904319763,0.41884148120880127
lora,2,44,notinject,339,0,0.0,0.24790075911797874,0.36104868709257654
lora,2,44,xstest,450,200,0.4444444444444444,0.010894482823236507,0.04293495296544228
lora,3,42,bipia,50,50,1.0,0.0042050303019823335,0.008947843118876864
lora,3,42,hackaprompt,1650,1650,1.0,0.7345905900001526,0.32798856496810913
lora,3,42,hackaprompt,1650,1650,1.0,0.7617564797401428,0.33077964186668396
lora,3,42,injecagent,62,62,1.0,0.12028769503873968,0.24047674959166546
lora,3,42,jbb_behaviors,200,100,0.5,0.038419323798140684,0.130206629745287
lora,3,42,notinject,339,0,0.0,0.40695098814276315,0.4252457831257245
lora,3,42,xstest,450,200,0.4444444444444444,0.03059013463244178,0.10878816571192107
lora,3,43,bipia,50,50,1.0,0.0020901122714712984,0.0031104564328227453
lora,3,43,hackaprompt,1650,1650,1.0,0.8152898550033569,0.2816419005393982
lora,3,43,hackaprompt,1650,1650,1.0,0.7894096374511719,0.3087349534034729
lora,3,43,injecagent,62,62,1.0,0.07478016414663743,0.19354103760913696
lora,3,43,jbb_behaviors,200,100,0.5,0.04915384607302485,0.15350016842305556
lora,3,43,notinject,339,0,0.0,0.4042154460373312,0.41063036083766147
lora,3,43,xstest,450,200,0.4444444444444444,0.060329628982375046,0.14703189454250917
lora,3,44,bipia,50,50,1.0,0.00458968281862326,0.012505057631451768
lora,3,44,hackaprompt,1650,1650,1.0,0.8105330467224121,0.27551549673080444
lora,3,44,hackaprompt,1650,1650,1.0,0.7692021727561951,0.3053985834121704
lora,3,44,injecagent,62,62,1.0,0.07133480493524574,0.2014500635287671
lora,3,44,jbb_behaviors,200,100,0.5,0.03755868706132105,0.1350917439973668
lora,3,44,notinject,339,0,0.0,0.4447666630277666,0.42564463420538007
lora,3,44,xstest,450,200,0.4444444444444444,0.04184331656772378,0.11457693997981216
protectai-v1,-1,-1,bipia,50,50,1.0,0.05841697666900245,0.22673873338988676
protectai-v1,-1,-1,deepset_prompt_injections,203,203,1.0,0.4620498501631097,0.49238787431292524
protectai-v1,-1,-1,hackaprompt,2891,2891,1.0,0.9531732481994373,0.21024264844662052
protectai-v1,-1,-1,injecagent,62,62,1.0,1.2980414392095262e-07,2.0070260745772423e-09
protectai-v1,-1,-1,jbb_behaviors,200,100,0.5,1.2924134566105749e-07,2.1300493296524785e-09
protectai-v1,-1,-1,lakera_gandalf_ignore_instructions,777,777,1.0,0.9987123311823565,0.03585167874270464
protectai-v1,-1,-1,lakera_mosscap_prompt_injection,3000,3000,1.0,0.3978226137313553,0.48409089837888974
protectai-v1,-1,-1,notinject,339,0,0.0,0.30934138648996723,0.45889250451616015
protectai-v1,-1,-1,xstest,450,200,0.4444444444444444,1.2926413496138088e-07,2.004643424604137e-09
protectai-v2,-1,-1,bipia,50,50,1.0,0.63185568284287,0.4603987896891554
protectai-v2,-1,-1,deepset_prompt_injections,203,203,1.0,0.4257915058749292,0.48571633720090074
protectai-v2,-1,-1,hackaprompt,2891,2891,1.0,0.9583503932333216,0.19643176070067164
protectai-v2,-1,-1,injecagent,62,62,1.0,0.14746249566328076,0.34051885438249413
protectai-v2,-1,-1,jbb_behaviors,200,100,0.5,0.005198580668313184,0.06945481477479813
protectai-v2,-1,-1,lakera_gandalf_ignore_instructions,777,777,1.0,0.9994572950299335,0.014105518335025663
protectai-v2,-1,-1,lakera_mosscap_prompt_injection,3000,3000,1.0,0.6240496180765513,0.47673520952104553
protectai-v2,-1,-1,notinject,339,0,0.0,0.426783781802419,0.4794204872392306
protectai-v2,-1,-1,xstest,450,200,0.4444444444444444,4.137614700994163e-06,6.741702970626289e-05
tfidf-lr,0,42,bipia,50,50,1.0,0.11800306733490944,0.0998719045669051
tfidf-lr,0,42,deepset_prompt_injections,170,170,1.0,0.42009984830505637,0.27165171613635186
tfidf-lr,0,42,injecagent,62,62,1.0,0.1703457405848382,0.15763565207915534
tfidf-lr,0,42,jbb_behaviors,200,100,0.5,0.1361358584280763,0.1584457978900097
tfidf-lr,0,42,notinject,339,0,0.0,0.3634330412625434,0.26316173151047517
tfidf-lr,0,42,xstest,450,200,0.4444444444444444,0.16654852484756605,0.12540506466214504
tfidf-lr,0,43,bipia,50,50,1.0,0.1336536708571339,0.11267427524500213
tfidf-lr,0,43,deepset_prompt_injections,170,170,1.0,0.4098706877547817,0.27364078685138465
tfidf-lr,0,43,injecagent,62,62,1.0,0.16760827482708684,0.15559344253846982
tfidf-lr,0,43,jbb_behaviors,200,100,0.5,0.1262420979015079,0.14441966258916564
tfidf-lr,0,43,notinject,339,0,0.0,0.34633547885130456,0.2546587647968881
tfidf-lr,0,43,xstest,450,200,0.4444444444444444,0.16550121544387342,0.11746331503927462
tfidf-lr,0,44,bipia,50,50,1.0,0.1256632529054828,0.09882888184146321
tfidf-lr,0,44,deepset_prompt_injections,170,170,1.0,0.4194318547191507,0.2697305320645751
tfidf-lr,0,44,injecagent,62,62,1.0,0.18706287191831114,0.16909495552511078
tfidf-lr,0,44,jbb_behaviors,200,100,0.5,0.1368185682101302,0.15833527152772423
tfidf-lr,0,44,notinject,339,0,0.0,0.3429228847246153,0.24983192345011757
tfidf-lr,0,44,xstest,450,200,0.4444444444444444,0.17226564338261993,0.12718974092765337
tfidf-lr,1,42,bipia,50,50,1.0,0.14392238536197208,0.12491706590690954
tfidf-lr,1,42,injecagent,62,62,1.0,0.18592966465733257,0.1634193137146381
tfidf-lr,1,42,jbb_behaviors,200,100,0.5,0.14863804454769436,0.1530729612161879
tfidf-lr,1,42,lakera_gandalf_ignore_instructions,525,525,1.0,0.9449525560414935,0.0846697297108175
tfidf-lr,1,42,notinject,339,0,0.0,0.35764085560327313,0.26272738905024484
tfidf-lr,1,42,xstest,450,200,0.4444444444444444,0.19415002373607335,0.13276252679836228
tfidf-lr,1,43,bipia,50,50,1.0,0.15830538299884667,0.12812485145482272
tfidf-lr,1,43,injecagent,62,62,1.0,0.19211706806866632,0.16910677083375394
tfidf-lr,1,43,jbb_behaviors,200,100,0.5,0.1452649875329011,0.14906567430579074
tfidf-lr,1,43,lakera_gandalf_ignore_instructions,525,525,1.0,0.9429811711452452,0.0858244489583915
tfidf-lr,1,43,notinject,339,0,0.0,0.3639997667732794,0.26493792473190764
tfidf-lr,1,43,xstest,450,200,0.4444444444444444,0.18164608961233492,0.13374032466341432
tfidf-lr,1,44,bipia,50,50,1.0,0.11469877674515307,0.08994171595937596
tfidf-lr,1,44,injecagent,62,62,1.0,0.18567596154697705,0.16901827224606927
tfidf-lr,1,44,jbb_behaviors,200,100,0.5,0.15038879399125893,0.15940301938270907
tfidf-lr,1,44,lakera_gandalf_ignore_instructions,525,525,1.0,0.9416226498836375,0.08671365414879541
tfidf-lr,1,44,notinject,339,0,0.0,0.35153825019112445,0.25129891617298145
tfidf-lr,1,44,xstest,450,200,0.4444444444444444,0.1882841759011156,0.13580213666847285
tfidf-lr,2,42,bipia,50,50,1.0,0.10208475108027176,0.0910052525588488
